date,asset_id,open,high,low,close,adj_close
2024-01-02,000905.SH,4990,5020,4980,5000,5000
2024-01-03,000905.SH,5000,5040,4990,5020,5020
2024-01-04,000905.SH,5020,5030,4995,5010,5010
2024-01-05,000905.SH,5010,5060,5000,5050,5050
2024-01-08,000905.SH,5050,5080,5040,5070,5070
2024-01-09,000905.SH,5070,5090,5050,5060,5060
2024-01-10,000905.SH,5060,5110,5050,5100,5100
2024-01-11,000905.SH,5100,5120,5080,5090,5090
2024-01-12,000905.SH,5090,5140,5080,5130,5130
2024-01-15,000905.SH,5130,5160,5120,5150,5150
2024-01-16,000905.SH,5150,5170,5130,5140,5140
2024-01-17,000905.SH,5140,5190,5130,5180,5180
2024-01-18,000905.SH,5180,5200,5160,5170,5170
2024-01-19,000905.SH,5170,5220,5160,5210,5210
2024-01-22,000905.SH,5210,5240,5200,5230,5230
2024-01-23,000905.SH,5230,5250,5210,5220,5220
2024-01-24,000905.SH,5220,5270,5210,5260,5260
2024-01-25,000905.SH,5260,5280,5240,5250,5250
2024-01-26,000905.SH,5250,5300,5240,5290,5290
2024-01-29,000905.SH,5290,5320,5280,5310,5310
2024-01-30,000905.SH,5310,5330,5290,5300,5300
2024-01-31,000905.SH,5300,5350,5290,5340,5340
2024-02-01,000905.SH,5340,5360,5320,5330,5330
2024-02-02,000905.SH,5330,5380,5320,5370,5370
2024-02-05,000905.SH,5370,5400,5360,5390,5390
